year,home_team,away_team,home_points,away_points,spread,model_home_win_prob,model_pick_home,vegas_pick_home,model_correct,home_win
2023,Rutgers,Virginia Tech,35,16,-6.5,0.4451873027538745,0,1,0,1
2023,Missouri,Kansas State,30,27,2.0,0.6765357370032491,1,0,1,1
2023,Indiana,Louisville,14,21,10.0,0.6290586927345873,1,0,0,0
2023,Clemson,Florida State,24,31,2.0,0.7119695924412547,1,0,0,0
2023,Iowa State,Iowa,13,20,3.5,0.5660680312710757,1,0,0,0
2023,Wake Forest,Vanderbilt,36,20,-9.5,0.4637725865414255,0,1,0,1
2023,Rutgers,Northwestern,24,7,-7.0,0.4705594162535873,0,1,0,1
2023,North Carolina,South Carolina,31,17,2.5,0.6872019755806367,1,0,1,1
2023,Georgia Tech,Louisville,34,39,8.0,0.6396875960552414,1,0,0,0
2023,Utah,Florida,24,11,-8.0,0.41730063007549467,0,1,0,1
2023,Alabama,Georgia,27,24,5.0,0.61119823363855,1,0,1,1
2023,Colorado,Nebraska,36,14,-3.0,0.4066721306981491,0,1,0,1
2023,Indiana,Rutgers,14,31,6.0,0.5535341984400263,1,0,0,0
2023,Louisville,Boston College,56,28,-13.5,0.4981620780575605,0,1,0,1
2023,Kansas State,UCF,44,31,-6.5,0.49540457342778016,0,1,0,1
2023,Washington,Oregon,36,33,-3.0,0.36019360030870273,0,1,0,1
2023,Tennessee,Texas A&M,20,13,-3.0,0.26918813419306925,0,1,0,1
2023,Cincinnati,Iowa State,10,30,-5.0,0.3612471048960981,0,1,1,0
2023,Colorado,Stanford,43,46,-13.5,0.33254109132757,0,1,1,0
2023,Iowa State,TCU,27,14,6.5,0.6646684556733785,1,0,1,1
2023,Baylor,Texas Tech,14,39,2.5,0.55580154108101,1,0,0,0
2023,Northwestern,Minnesota,37,34,10.5,0.6025563363140993,1,0,1,1
2023,Kansas,UCF,51,22,2.0,0.586227244340125,1,0,1,1
2023,Illinois,Nebraska,7,20,-3.0,0.434226358829177,0,1,1,0
2023,Oklahoma State,Kansas State,29,21,12.0,0.565878415765719,1,0,1,1
2023,Virginia Tech,Pittsburgh,38,21,2.5,0.6838761221235462,1,0,1,1
2023,TCU,West Virginia,21,24,-12.5,0.4890543922462375,0,1,1,0
2023,Kentucky,Florida,33,14,-1.5,0.4015408550684331,0,1,0,1
2023,NC State,Louisville,10,13,3.0,0.6261498761774146,1,0,0,0
2023,Texas A&M,Alabama,20,26,1.0,0.5196303838903923,1,0,0,0
2023,Florida State,Louisville,16,6,1.5,0.8296873394378875,1,0,1,1
